,PITCHER,NAME,YEAR,Unnamed: 0,W,L,SV,IP,R,ER,PA,AB,H,HR,TB,BB,UBB,IBB,HBP,SO,PLAYERID,BASEBALLREFERENCECODE,WARP,TEAM
21,90,Kerry Ligtenberg,2000,48,13,18,17,302.6667,144,139,1310,1160.0,294,36,472.0,130,104,26,4.0,259,90,ligteke01,4.586731,ATL
22,93,Albie Lopez,1990,49,22,20,2,372.0001,232,208,1652,1454.0,406,54,633.0,163,145,18,13.0,272,93,lopezal02,0.8006159999999999,CLE
23,93,Albie Lopez,2000,50,25,38,2,469.3334,279,254,2061,1849.0,532,58,831.0,180,170,10,5.0,286,93,lopezal02,1.4084249999999998,TBD
24,95,Greg Maddux,1980,51,45,38,0,674.0,318,282,2894,2579.0,677,46,955.0,248,204,44,20.0,396,95,maddugr01,8.241655999999999,CHC
25,95,Greg Maddux,1990,52,176,88,0,2394.667,786,677,9563,8886.0,2084,111,2829.0,443,369,74,60.0,1764,95,maddugr01,79.32458000000001,ATL
26,95,Greg Maddux,2000,53,134,101,0,1939.666,877,797,7964,7425.0,1965,196,2986.0,308,249,59,57.0,1211,95,maddugr01,53.78634,ATL
27,96,Jason Marquis,2000,54,94,83,1,1484.999,809,739,6465,5714.0,1528,182,2445.0,578,545,33,66.0,867,96,marquja01,10.0456716,ATL
28,96,Jason Marquis,2010,55,30,35,0,483.33400000000006,305,269,2158,1702.0,551,71,776.0,191,183,8,22.0,307,96,marquja01,-0.4425300000000001,SDP
29,100,Kevin Millwood,1990,56,40,18,0,453.6663,192,170,1881,1704.0,398,43,619.0,136,130,6,9.0,410,100,millwke01,14.731012,ATL
30,100,Kevin Millwood,2000,57,115,103,0,1860.668,937,865,7982,7241.0,1923,201,2983.0,578,543,35,56.0,1398,100,millwke01,36.48887499999999,TEX
31,100,Kevin Millwood,2010,58,14,31,0,406.0003,228,208,1753,1595.0,449,52,693.0,129,124,5,9.0,275,100,millwke01,2.608070000000001,BAL
32,107,John Smoltz,1980,62,14,18,0,272.0,119,107,1144,1016.0,234,25,364.0,105,99,6,4.0,205,107,smoltjo01,5.181147,ATL
33,107,John Smoltz,1990,63,143,95,0,2142.335,867,791,8803,7952.0,1858,170,2810.0,669,620,49,34.0,1893,107,smoltjo01,64.06743,ATL
34,107,John Smoltz,2000,64,56,42,154,1058.6673,405,386,4324,4009.0,982,93,1503.0,236,207,29,19.0,986,107,smoltjo01,31.513624,ATL
35,117,Jose Cabrera,2000,69,15,17,4,221.9996,148,136,993,875.0,257,38,449.0,78,63,15,14.0,145,117,cabrejo01,-1.422879,ATL
36,122,Mike DeJean,1990,70,10,5,4,203.0,124,112,890,786.0,235,21,357.0,80,69,11,6.0,96,122,dejeami01,-4.593508,COL
37,122,Mike DeJean,2000,71,20,28,48,420.3334,203,186,1875,1608.0,414,38,625.0,212,173,39,24.0,350,122,dejeami01,3.2619856,COL
38,128,Nelson Figueroa,2000,76,13,28,0,376.9999,202,190,1671,1453.0,396,53,656.0,153,136,17,24.0,247,128,figuene01,2.60264338,NYM
39,128,Nelson Figueroa,2010,77,7,7,1,122.0,71,62,536,474.0,129,13,198.0,50,46,4,2.0,90,128,figuene01,0.9002349999999999,HOU
40,130,Chad Fox,2000,79,9,7,6,137.0,56,53,617,500.0,106,13,174.0,94,82,12,7.0,158,130,foxch02,2.6689833,CHC
41,152,Ruben Quevedo,2000,87,14,30,0,326.3334,243,223,1501,1293.0,364,70,678.0,175,163,12,7.0,237,152,queveru01,-2.087794,MIL
42,158,Ben Sheets,2000,90,86,83,0,1428.0,650,591,5922,5487.0,1402,160,2266.0,313,288,25,31.0,1206,158,sheetbe01,36.101652,MIL
43,158,Ben Sheets,2010,91,8,13,0,168.6663,86,79,718,650.0,175,24,309.0,56,53,3,1.0,119,158,sheetbe01,1.22156,ATL
44,161,Luis Vizcaino,2000,93,35,30,8,543.3333,271,261,2331,2044.0,492,78,851.0,234,197,37,16.0,490,161,vizcalu01,6.558782099999998,MIL
45,165,Andy Benes,1980,94,6,3,0,66.6667,28,26,280,240.0,51,7,84.0,31,31,0,1.0,66,165,benesan01,1.68642,SDP
46,165,Andy Benes,1990,95,125,116,1,2068.3320000000003,952,872,8729,7855.0,1950,212,3055.0,698,649,49,42.0,1655,165,benesan01,49.82021,SDP
47,165,Andy Benes,2000,96,24,20,0,370.333,226,208,1636,1410.0,376,70,684.0,180,177,3,12.0,279,165,benesan01,1.8092740000000005,STL
48,182,Luther Hackman,2000,105,8,8,1,196.0001,114,101,879,755.0,200,21,318.0,93,87,6,15.0,118,182,hackmlu01,-0.7678948999999999,STL
49,185,Jason Isringhausen,1990,106,18,22,9,359.0003000000001,194,179,1582,1382.0,382,31,541.0,160,149,11,14.0,245,185,isrinja01,5.954228,NYM
50,185,Jason Isringhausen,2000,107,27,28,284,556.3332,211,187,2342,2056.0,439,41,658.0,234,207,27,19.0,510,185,isrinja01,10.730261000000002,STL
51,185,Jason Isringhausen,2010,108,6,5,7,92.3334,45,42,398,346.0,80,13,133.0,43,38,5,1.0,75,185,isrinja01,0.3272212,LAA
52,198,Matt Morris,1990,111,19,14,0,330.6670000000001,125,109,1368,1222.0,309,20,433.0,111,103,8,10.0,228,198,morrima01,7.246180000000002,STL
53,198,Matt Morris,2000,112,102,78,4,1475.3333,764,690,6301,5722.0,1558,155,2418.0,398,370,28,64.0,986,198,morrima01,28.592652,STL
54,208,Jason Simontacchi,2000,113,26,17,1,355.666,213,201,1552,1385.0,399,57,679.0,125,117,8,15.0,191,208,simonja01,0.46918580000000004,STL
55,209,Travis Smith,2000,115,6,6,0,109.6667,84,81,495,440.0,139,23,237.0,38,35,3,4.0,68,209,smithtr01,1.3286563999999998,ATL
56,210,Gene Stechschulte,2000,116,8,7,6,127.6667,76,65,555,472.0,122,20,211.0,64,60,4,5.0,84,210,stechge01,0.1355946,STL
57,211,Garrett Stephenson,1990,117,14,12,0,231.6666,121,113,998,881.0,238,26,383.0,89,87,2,9.0,160,211,stephga01,1.727754,PHI
58,211,Garrett Stephenson,2000,118,25,27,0,419.666,226,216,1810,1599.0,424,65,739.0,148,145,3,25.0,248,211,stephga01,1.8618580000000002,STL
59,214,Dave Veres,1990,119,23,19,46,437.333,181,165,1886,1671.0,436,44,658.0,160,137,23,17.0,395,214,veresda01,7.717572,COL
60,214,Dave Veres,2000,120,13,16,49,256.6668,106,100,1071,941.0,225,34,378.0,97,90,7,11.0,222,214,veresda01,4.249568999999998,STL
61,216,Rick White,1990,121,13,17,6,307.0,156,139,1333,1198.0,343,28,502.0,96,86,10,11.0,187,216,whiteri01,1.948582,PIT
62,216,Rick White,2000,122,29,37,10,551.6665,329,286,2392,2126.0,587,63,928.0,193,154,39,23.0,355,216,whiteri01,5.095370600000001,HOU
63,217,Woody Williams,1990,123,40,46,0,821.6669999999999,414,395,3526,3133.0,802,121,1381.0,324,307,17,15.0,576,217,williwo02,1.5551638,TOR
64,217,Woody Williams,2000,124,92,70,0,1394.6670000000001,682,636,5949,5406.0,1415,188,2333.0,387,364,23,57.0,904,217,williwo02,19.65601,SDP
65,219,Jamey Wright,1990,125,25,33,0,541.6666,368,335,2446,2113.0,648,61,1011.0,261,251,10,33.0,239,219,wrighja01,-10.6432,COL
66,219,Jamey Wright,2000,126,57,82,0,1160.3333,686,616,5155,4400.0,1199,121,1818.0,582,537,45,101.0,701,219,wrighja01,-3.730963000000001,MIL
67,219,Jamey Wright,2010,127,15,15,2,334.6666,154,137,1438,1250.0,321,18,435.0,135,117,18,21.0,249,219,wrighja01,3.0017519000000004,LAD
68,220,Antonio Alfonseca,1990,128,9,14,29,174.00010000000003,80,74,764,666.0,190,17,283.0,72,54,18,8.0,111,220,alfonan01,-0.06278000000000006,FLA
69,220,Antonio Alfonseca,2000,129,26,23,100,439.0,216,206,1946,1718.0,487,38,693.0,178,151,27,14.0,289,220,alfonan01,2.2325234000000007,FLA
70,225,Alan Benes,1990,131,23,21,0,370.667,195,171,1589,1384.0,346,42,541.0,159,153,6,12.0,313,225,benesal01,7.025135700000001,STL
71,225,Alan Benes,2000,132,6,7,1,123.3333,89,81,564,494.0,147,17,232.0,61,58,3,2.0,88,225,benesal01,0.2107279,CHC
72,226,Jason Bere,1990,133,47,34,0,661.3340000000002,422,384,3012,2514.0,641,83,1023.0,430,420,10,20.0,537,226,bereja01,-0.2513910000000001,CHW
73,226,Jason Bere,2000,134,24,31,0,449.6664,272,250,1975,1727.0,454,62,759.0,196,181,15,9.0,383,226,bereja01,8.02627,CHC
74,227,Joe Borowski,2000,136,17,27,131,385.3334,186,177,1652,1483.0,372,47,594.0,136,113,23,6.0,339,227,borowjo01,5.8910475999999985,CHC
75,234,Matt Clement,1990,137,12,12,0,194.3337,114,97,865,748.0,205,18,300.0,93,90,3,9.0,148,234,clemema01,4.124311,SDP
76,234,Matt Clement,2000,138,75,74,0,1218.3333,648,605,5324,4603.0,1121,126,1768.0,557,537,20,85.0,1069,234,clemema01,23.54803,CHC
77,236,Juan Cruz,2000,139,32,35,3,565.3334,297,261,2468,2079.0,492,59,789.0,295,279,16,43.0,573,236,cruzju02,9.92201,ARI
78,236,Juan Cruz,2010,140,6,1,3,89.66669999999998,35,34,390,329.0,84,8,126.0,51,49,2,3.0,86,236,cruzju02,0.3937558,KCR
79,237,Will Cunnane,1990,141,8,4,0,125.3333,90,79,574,503.0,152,20,237.0,62,55,7,5.0,102,237,cunnawi01,0.9388228,SDP
80,241,Kyle Farnsworth,2000,144,26,44,27,642.3333,342,311,2794,2441.0,607,87,989.0,290,260,30,16.0,710,241,farnsky01,12.543287,CHC
81,241,Kyle Farnsworth,2010,145,12,13,30,216.3335,87,84,908,814.0,197,17,300.0,70,64,6,9.0,183,241,farnsky01,1.0150518,TBR
82,256,Jon Lieber,1990,146,48,58,2,885.9997,490,423,3792,3506.0,976,112,1542.0,204,181,23,13.0,694,256,liebejo01,20.79225,PIT
83,256,Jon Lieber,2000,147,83,66,0,1311.9997,668,620,5508,5151.0,1412,173,2245.0,218,189,29,36.0,859,256,liebejo01,28.691273,CHC
84,257,Pat Mahomes,1990,148,29,28,5,452.6667,299,280,2005,1729.0,472,79,843.0,242,234,8,8.0,279,257,mahompa01,-6.9824850000000005,MIN
85,257,Pat Mahomes,2000,149,13,11,0,256.333,162,151,1158,981.0,266,37,469.0,150,133,17,3.0,173,257,mahompa01,-3.1613349000000004,CHC
86,265,Mark Prior,2000,151,42,29,0,657.0007,277,256,2771,2475.0,582,77,961.0,223,213,10,31.0,757,265,priorma01,20.795129900000006,CHC
87,275,Kerry Wood,1990,155,13,6,0,166.667,69,63,699,597.0,117,14,191.0,85,84,1,11.0,233,275,woodke02,6.56076,CHC
88,275,Kerry Wood,2000,156,67,58,54,1107.6663,482,457,4697,4015.0,878,124,1469.0,520,505,15,80.0,1237,275,woodke02,31.455015999999997,CHC
89,275,Kerry Wood,2010,157,6,11,9,105.6667,48,43,467,388.0,88,10,141.0,61,55,6,8.0,112,275,woodke02,1.360001,CHC
90,277,Carlos Zambrano,2000,158,105,68,0,1551.3327000000004,669,605,6593,5714.0,1313,126,2009.0,698,662,36,81.0,1324,277,zambrca01,33.3684265,CHC
91,277,Carlos Zambrano,2010,159,27,23,0,407.667,210,192,1796,1530.0,396,35,582.0,200,195,5,21.0,313,277,zambrca01,0.9990549999999999,CHC
92,282,Miguel Batista,1990,162,11,17,1,319.3336000000001,188,162,1434,1221.0,336,27,493.0,157,144,13,14.0,221,282,batismi01,3.25821458,MON
93,282,Miguel Batista,2000,163,84,91,38,1441.6663,806,727,6353,5555.0,1507,150,2319.0,637,606,31,53.0,907,282,batismi01,3.122448,ARI
94,282,Miguel Batista,2010,164,7,7,2,195.3334,95,85,856,726.0,178,17,272.0,105,91,14,12.0,122,282,batismi01,-2.2837840000000003,NYM
95,295,Mike Fetters,1990,166,19,33,85,536.3333,253,214,2332,2017.0,532,41,766.0,247,219,28,20.0,369,295,fettemi01,1.1262690000000004,MIL
96,295,Mike Fetters,2000,167,12,8,15,177.0001,103,90,792,667.0,162,20,256.0,103,92,11,11.0,145,295,fettemi01,0.6258212999999999,ARI
97,303,Rick Helling,1990,170,44,34,0,678.9993,371,355,2903,2567.0,661,110,1170.0,274,261,13,15.0,466,303,helliri01,-4.334250000000001,TEX
98,303,Rick Helling,2000,171,49,47,0,847.3340000000002,471,438,3661,3288.0,879,137,1558.0,288,277,11,33.0,592,303,helliri01,1.4890669999999997,MIL
99,306,Byung-Hyun Kim,2000,176,53,58,85,813.6669999999999,436,399,3567,3075.0,761,92,1221.0,356,323,33,75.0,775,306,kimby01,13.35311,ARI
100,307,Mike Koplove,2000,177,15,7,2,254.6668,120,108,1085,939.0,231,19,337.0,103,84,19,19.0,175,307,koplomi01,2.0839446,ARI
101,309,Matt Mantei,2000,179,9,10,52,171.0,93,88,753,635.0,142,21,237.0,99,95,4,10.0,194,309,mantema01,1.5832667,ARI
102,319,John Patterson,2000,184,18,25,1,454.333,226,218,1959,1733.0,435,60,727.0,179,157,22,19.0,415,319,pattejo02,9.429998,WSN
103,322,Armando Reynoso,1990,186,56,44,1,860.6669,479,436,3752,3330.0,945,103,1503.0,310,283,27,50.0,448,322,reynoar02,-3.14486626,COL
104,322,Armando Reynoso,2000,187,12,18,0,219.0004,136,133,946,850.0,240,35,401.0,66,59,7,10.0,106,322,reynoar02,0.7800855999999999,ARI
105,323,Curt Schilling,1990,189,99,79,13,1668.332,663,613,6802,6211.0,1451,148,2254.0,441,408,33,30.0,1561,323,schilcu01,54.124166,PHI
106,323,Curt Schilling,2000,190,117,63,9,1569.3343,630,618,6368,6011.0,1515,194,2460.0,257,248,9,21.0,1545,323,schilcu01,50.16649999999999,ARI
107,337,Andy Ashby,1990,195,72,74,1,1343.0010000000002,666,594,5680,5139.0,1357,146,2079.0,396,361,35,44.0,910,337,ashbyan01,31.850067600000003,SDP
108,337,Andy Ashby,2000,196,26,36,0,467.6667,256,235,2012,1801.0,500,59,786.0,144,130,14,17.0,263,337,ashbyan01,7.546243700000001,LAD
109,341,Kevin Brown,1980,198,14,10,0,219.3333,98,84,927,834.0,206,12,276.0,78,76,2,5.0,120,341,brownke01,2.0838586,TEX
110,341,Kevin Brown,1990,199,143,98,0,2211.333,917,798,9198,8393.0,2107,128,2900.0,605,572,33,103.0,1581,341,brownke01,52.744599,TEX
111,341,Kevin Brown,2000,200,54,36,0,825.6669999999999,342,303,3417,3115.0,766,68,1126.0,218,211,7,31.0,696,341,brownke01,25.3011,LAD
112,344,Giovanni Carrara,2000,202,26,12,4,375.3334,169,164,1613,1414.0,355,49,591.0,146,129,17,18.0,283,344,carragi01,4.8456480000000015,LAD
113,349,Darren Dreifort,1990,205,27,36,10,474.3337,244,228,2044,1787.0,461,37,678.0,194,181,13,22.0,417,349,dreifda01,12.151737400000002,LAD
114,349,Darren Dreifort,2000,206,21,24,1,398.3337,221,195,1746,1505.0,365,53,607.0,195,192,3,18.0,385,349,dreifda01,10.595239999999999,LAD
115,351,Eric Gagne,2000,208,32,25,187,613.6664999999998,260,241,2545,2263.0,500,73,841.0,211,198,13,33.0,688,351,gagneer01,13.9071372,LAD
116,372,Guillermo Mota,2000,211,34,35,8,646.3334,296,285,2709,2402.0,564,68,919.0,246,208,38,18.0,530,372,motagu01,9.35659369,LAD
117,373,Hideo Nomo,1990,213,61,49,0,960.665,444,408,4070,3555.0,800,106,1309.0,427,413,14,23.0,1031,373,nomohi01,31.448359999999997,LAD
118,373,Hideo Nomo,2000,214,62,60,0,1015.6663,549,524,4392,3815.0,968,145,1625.0,481,464,17,15.0,887,373,nomohi01,15.861309699999998,LAD
119,377,Paul Quantrill,1990,221,39,57,15,770.6659999999998,384,335,3366,3047.0,898,83,1352.0,225,186,39,24.0,450,377,quantpa01,6.7584729999999995,TOR
120,377,Paul Quantrill,2000,222,29,21,6,485.0,217,199,2062,1894.0,544,29,759.0,111,82,29,21.0,275,377,quantpa01,5.899208999999999,LAD
121,381,Paul Shuey,1990,224,22,16,19,249.3334,121,111,1100,940.0,228,26,357.0,136,117,19,5.0,272,381,shueypa01,4.83552461,CLE
122,381,Paul Shuey,2000,225,23,12,4,280.6667,131,117,1209,1043.0,243,17,359.0,141,128,13,9.0,284,381,shueypa01,5.8521877500000015,CLE
123,384,Tony Armas,2000,227,53,64,0,919.6663,515,477,4027,3466.0,883,122,1487.0,429,389,40,51.0,678,384,armasto02,3.7636314,MON
124,388,Jim Brower,2000,229,30,31,5,548.3329,310,285,2417,2100.0,569,62,891.0,246,230,16,27.0,379,388,broweji01,2.4212130000000003,SFG
125,395,Bartolo Colon,1990,231,36,21,0,503.0,254,233,2168,1929.0,497,51,771.0,200,189,11,13.0,385,395,colonba01,7.6361430000000015,CLE
126,395,Bartolo Colon,2000,232,117,82,0,1573.6659,777,712,6660,6014.0,1571,205,2546.0,510,491,19,31.0,1222,395,colonba01,25.5604783,CLE
127,395,Bartolo Colon,2010,233,94,85,0,1384.9990000000007,688,639,5827,4717.0,1525,183,2103.0,238,221,17,20.0,928,395,colonba01,11.803339999999999,NYM
128,397,Zach Day,2000,234,21,27,1,372.6666,207,193,1648,1439.0,389,35,595.0,172,154,18,19.0,189,397,dayza01,1.3404962,MON
129,406,Matt Herges,2000,242,43,33,34,666.6669,322,289,2919,2574.0,711,61,1068.0,249,205,44,31.0,455,406,hergema01,5.687074,COL
130,410,Sun-Woo Kim,2000,243,13,13,0,337.0003,211,199,1520,1341.0,396,44,621.0,127,107,20,27.0,211,410,kimsu01,1.4983839999999995,MON
131,415,Tomo Ohka,2000,245,50,66,0,1057.0,556,497,4555,4151.0,1161,138,1856.0,296,269,27,34.0,582,415,ohkato01,5.169387,MON
132,417,Britt Reames,2000,246,7,13,0,218.0,145,128,986,842.0,226,32,384.0,118,107,11,10.0,204,417,reamebr01,3.3464391000000004,MON
133,425,T.J. Tucker,2000,250,13,9,4,228.6667,127,116,1009,913.0,263,27,408.0,73,57,16,8.0,140,425,tucket.01,2.4169677000000003,MON
134,427,Javier Vazquez,1990,251,14,23,0,327.0,219,202,1431,1277.0,350,51,590.0,120,114,6,15.0,252,427,vazquja01,7.2761,MON
135,427,Javier Vazquez,2000,252,128,116,0,2163.001,1025,957,9023,8303.0,2101,269,3432.0,528,488,40,64.0,2001,427,vazquja01,57.86907,MON
136,427,Javier Vazquez,2010,253,23,21,0,350.0,187,172,1481,1334.0,333,53,583.0,115,103,12,9.0,283,427,vazquja01,2.1377900000000003,FLA
137,431,Masato Yoshii,1990,254,18,16,0,345.6670000000001,165,160,1447,1296.0,334,47,577.0,111,103,8,12.0,222,431,yoshima01,5.4822799999999985,NYM
138,431,Masato Yoshii,2000,255,14,31,0,411.666,243,229,1772,1618.0,471,65,774.0,111,101,10,11.0,225,431,yoshima01,-0.35682099999999983,MON
139,432,Kurt Ainsworth,2000,256,6,8,0,126.6667,78,73,569,490.0,136,16,217.0,61,61,0,8.0,90,432,ainswku01,1.8651879,SFG
140,450,Livan Hernandez,1990,260,27,27,0,533.3333,282,260,2344,2076.0,576,65,901.0,220,206,14,11.0,380,450,hernali01,5.0008957999999994,FLA
141,450,Livan Hernandez,2000,261,129,124,0,2201.333,1165,1091,9533,8553.0,2450,250,3762.0,720,663,57,57.0,1335,450,hernali01,21.016204,SFG
142,450,Livan Hernandez,2010,262,22,26,1,454.3333,239,221,1939,1750.0,499,47,754.0,126,111,15,10.0,261,450,hernali01,3.399656,WSN
143,451,Ryan Jensen,2000,263,17,12,0,252.66690000000003,150,142,1116,978.0,279,36,455.0,103,98,5,12.0,152,451,jensery01,0.994814,SFG
144,461,Joe Nathan,1990,264,7,4,1,90.3333,45,42,395,346.0,84,17,155.0,46,46,0,1.0,54,461,nathajo01,0.5414760000000001,SFG
145,461,Joe Nathan,2000,265,39,18,246,594.6667,181,167,2390,2127.0,412,46,657.0,216,194,22,15.0,664,461,nathajo01,15.0264412,MIN
146,461,Joe Nathan,2010,266,18,12,130,238.3333,91,85,986,881.0,194,21,299.0,82,73,9,7.0,258,461,nathajo01,3.2828316,DET
147,462,Robb Nen,1990,267,31,32,185,497.6667,204,182,2114,1884.0,448,39,680.0,199,173,26,3.0,527,462,nenro01,12.728427590000004,FLA
148,462,Robb Nen,2000,268,14,10,129,217.3334,62,55,869,790.0,159,12,227.0,61,46,15,4.0,266,462,nenro01,7.29787,SFG
149,464,Russ Ortiz,1990,269,22,13,0,296.0003,160,137,1316,1109.0,279,35,449.0,171,165,6,10.0,239,464,ortizru01,5.0592700000000015,SFG
150,464,Russ Ortiz,2000,270,91,75,0,1358.3337,735,687,5965,5140.0,1329,144,2094.0,684,654,30,35.0,947,464,ortizru01,10.745287,SFG
151,466,Felix Rodriguez,2000,273,35,20,6,419.3333,167,159,1788,1545.0,356,35,547.0,192,178,14,23.0,382,466,rodrife01,4.848357,SFG
152,471,Jason Schmidt,1990,276,41,42,0,736.0004,406,369,3242,2861.0,775,76,1211.0,303,291,12,19.0,535,471,schmija01,10.225402,PIT
153,471,Jason Schmidt,2000,277,89,54,0,1260.3326999999995,552,509,5290,4689.0,1071,108,1678.0,489,466,23,33.0,1223,471,schmija01,35.975716799999994,SFG
154,480,Jay Witasick,1990,278,11,16,0,209.333,148,133,971,840.0,253,39,412.0,109,107,2,8.0,151,480,witasja01,-2.2264112000000003,OAK
155,480,Jay Witasick,2000,279,21,25,5,522.0001,281,244,2327,2010.0,522,58,822.0,255,228,27,27.0,494,480,witasja01,9.3058364,SDP
156,481,Tim Worrell,1990,280,20,32,4,528.3333,289,262,2307,2045.0,529,58,837.0,206,194,12,18.0,403,481,worreti01,6.7586,SDP
157,481,Tim Worrell,2000,281,28,27,67,445.3332,199,167,1923,1711.0,434,49,691.0,160,131,29,9.0,355,481,worreti01,7.942177999999998,SFG
158,489,Josh Beckett,2000,285,106,68,0,1401.001,641,590,5835,5298.0,1280,151,2071.0,426,412,14,48.0,1330,489,beckejo02,38.527228,FLA
159,489,Josh Beckett,2010,286,32,38,0,650.0003,316,294,2744,2468.0,617,87,1025.0,203,189,14,28.0,571,489,beckejo02,7.9873270000000005,BOS
160,493,A.J. Burnett,2000,288,96,83,0,1541.9997,721,660,6531,5734.0,1355,144,2108.0,640,619,21,70.0,1440,493,burnea.01,36.12209900000001,FLA
161,493,A.J. Burnett,2010,289,64,72,0,1148.0,584,534,4952,3728.0,1127,116,1506.0,435,423,12,73.0,1040,493,burnea.01,14.995288,PIT
162,507,Gary Knotts,2000,292,13,16,2,267.333,172,162,1196,1051.0,281,41,472.0,122,119,3,11.0,162,507,knottga01,-1.1391911,DET
163,510,Braden Looper,2000,296,69,61,103,1089.6669000000004,547,505,4681,4226.0,1141,124,1758.0,341,308,33,39.0,615,510,loopebr01,6.4018411,FLA
164,518,Vladimir Nunez,1990,299,7,10,1,114.0003,69,55,488,414.0,102,11,162.0,56,50,6,4.0,88,518,nunezvl01,1.7844241000000003,ARI
165,518,Vladimir Nunez,2000,300,14,24,20,328.0001000000001,195,182,1436,1245.0,328,44,550.0,143,130,13,9.0,239,518,nunezvl01,2.25169259,FLA
166,523,Carl Pavano,1990,302,12,17,0,238.667,136,128,1037,929.0,247,26,384.0,78,76,2,12.0,153,523,pavanca01,5.4398,MON
167,523,Carl Pavano,2000,303,68,61,0,1044.0003,555,505,4477,4089.0,1155,118,1795.0,262,227,35,56.0,686,523,pavanca01,16.619805,FLA
168,523,Carl Pavano,2010,304,28,29,0,506.0,264,240,2129,2000.0,569,56,884.0,85,81,4,16.0,252,523,pavanca01,4.2142740000000005,MIN
169,524,Brad Penny,2000,305,105,84,0,1633.6667,806,752,6930,6252.0,1669,159,2590.0,526,492,34,44.0,1141,524,pennybr01,29.420796999999997,FLA
170,524,Brad Penny,2010,306,16,17,0,291.3337,184,165,1288,1167.0,361,35,557.0,93,89,4,9.0,132,524,pennybr01,-1.4734660000000002,DET
171,530,Julian Tavarez,1990,309,29,19,1,432.6667,244,212,1899,1684.0,488,42,718.0,152,125,27,26.0,256,530,tavarju01,1.9503398,CLE
172,530,Julian Tavarez,2000,310,59,63,22,971.6671,564,484,4323,3763.0,1052,71,1550.0,411,366,45,70.0,586,530,tavarju01,0.2580439999999996,BOS
